Old Name,New Name
cox II,cox2
coxII,cox2
CoxII,cox2
COX II,cox2
COX-II,cox2
COXII,cox2
coxIII,cox3
CoxIII,cox3
COX III,cox3
COX-III,cox3
COXIII,cox3
ctb,cytb
C-terminal domain of Cytochrome c Oxidase subunit II,cox2
ctochrome oxidase I,cox1
ctyb,cytb
CTYB,cytb
cutochrome c oxidase subunit I,cox1
cutochrome oxidase subunit 3,cox3
cutochrome oxidase subunit II,cox2
cyb,cytb
CYB,cytb
cybt,cytb
CYCS,cox1
cyctochrome c oxidase subunit 1,cox1
cyctochrome oxidase subunit 1,cox1
cycytochrome oxidase I,cox1
cynb,cytb
cyochrome oxidase subunit I,cox1
cyochrome oxidase subunit II,cox2
cyochrome oxidase subunit III,cox3
cyotchrome oxidase subunit I,cox1
cyotochrome oxidase subunit I,cox1
cyrochrome b,cytb
cyrochrome oxidase subunit 1,cox1
cyrochrome oxidase subunit I,cox1
cytb1,cytb
cytb2,cytb
cytb3,cytb
cytb4,cytb
cyt b,cytb
cyt-b,cytb
cytb,cytb
cyt-B,cytb
cytB,cytb
Cyt b,cytb
Cyt-b,cytb
Cyt.b,cytb
Cytb,cytb
CytB,cytb
CYTB,cytb
cytbochrome b,cytb
cytb protein,cytb
Cytb protein,cytb
cytc,cox1
cytchorome b,cytb
cytchrome b,cytb
cytchrome c oxidase subunit I,cox1
cytchrome c oxidase subunit II,cox2
cytchrome c oxidase subunit III,cox3
cytchrome oxidase subunit I,cox1
cyt,cytb
cythochrome oxidase subunit I,cox1
Cythocrome b,cytb
cyto b,cytb
CytoB,cytb
cytochdrome c oxidase subunit I,cox1
cytochdrome c oxidase subunit II,cox2
cytochdrome c oxidase subunit III,cox3
cytochome b,cytb
cytochome c oxidase subunit 1,cox1
cytochome c oxidase subunit 2,cox2
cytochome c oxidase subunit 3,cox3
cytochome c oxidase subunit I,cox1
cytochome oxidase II,cox2
cytochome oxidase subunit 1,cox1
cytochome oxidase subunit 2,cox2
cytochome oxidase subunit I,cox1
cytochome oxidse II,cox2
cytochorme b,cytb
cytochorme oxidase subunit I,cox1
cytochorome b,cytb
cytochorome c oxidase subunit I,cox1
cytochorome c oxidase subunit II,cox2
cytochorome oxidase subunit I,cox1
cytochorome oxidase subunit II,cox2
cytochorome oxidase subunit III,cox3
cytochorom oxidase subunit II,cox2
cytochroe c oxidase subunit 1,cox1
cytochroime b,cytb
cytochrom b,cytb
cytochrom b protein,cytb
cytochrom c oxidase subunit 1,cox1
cytochrom c oxidase subunit 3,cox3
cytochrome apoenzyme b,cytb
cytochrome b (45 AA),cytb
cytochrome-b5 reductase,cytb
cytochrome b apoenzyme,cytb
cytochrome b,cytb
cytochrome-b,cytb
cytochrome-B,cytb
Cytochrome b,cytb
Cytochrome-b,cytb
cytochrome b gene,cytb
cytochrome b light strand,cytb
Cytochrome B mitochiondrial organelle,cytb
cytochrome b (mitochondrion),cytb
cytochrome b oxidase,cytb
cytochrome B oxidase,cytb
cytochrome b oxidase subunit II,cox2
cytochrome b oxydase,cytb
cytochrome b partial sequence,cytb
cytochrome b protein,cytb
cytochrome B protein,cytb
Cytochrome b protein,cytb
Cytochrome-b protein,cytb
cytochrome b small subunit of mitochondrial fumarate reductase,cytb
cytochrome b; TAA stop codon appears afterpolyadenylation,cytb
cytochrome b type 1,cytb
cytochrome b type 2,cytb
cytochrome b type 3,cytb
cytochrome b type 4,cytb
cytochrome b type 5,cytb
cytochrome b type 6,cytb
cytochrome c coxidase subunit III,cox3
cytochrome co oxidase subunit III,cox3
cytochrome c oxdase subunit 2,cox2
cytochrome c oxdiase subunit I,cox1
cytochrome c oxidae subunit 1,cox1
cytochrome c oxidase 1,cox1
cytochrome c oxidase 1 subunit 1,cox1
cytochrome c oxidase 2,cox2
cytochrome C oxidase 2,cox2
cytochrome c oxidase 3,cox3
cytochrome C oxidase asubunit 3,cox3
cytochrome c oxidase chain I,cox1
cytochrome c oxidase chain II,cox2
cytochrome c oxidase,cox1
cytochrome-c oxidase,cox1
cytochrome-c oxidase,cox2
cytochrome-c oxidase,cox3
cytochrome c oxidase I,cox1
cytochrome-c oxidase I,cox1
cytochrome c oxidase II,cox2
cytochrome-c oxidase II,cox2
cytochrome-c-oxidase II,cox2
cytochrome c oxidase III,cox3
cytochrome-c oxidase III,cox3
cytochrome C oxidase II subunit,cox2
cytochrome c oxidase I subunit,cox1
cytochrome c oxidase polypeptide 1,cox1
cytochrome c oxidase polypeptide 2,cox2
cytochrome c oxidase polypeptide 3,cox3
